file_index,flips_requested,raw_bit_diff,flips_actual
159,10,132,10
159,15,132,15
159,20,113,20
159,25,141,25
159,30,133,30
159,35,113,35
159,40,127,40
159,45,134,45
159,50,129,50
160,1,133,1
160,5,122,5
160,10,132,10
160,15,125,15
160,20,124,20
160,25,135,25
160,30,120,30
160,35,125,35
160,40,124,40
160,45,139,45
160,50,123,50
161,1,122,1
161,5,122,5
161,10,122,10
161,15,132,15
161,20,115,20
161,25,120,25
161,30,127,30
161,35,120,35
161,40,115,40
161,45,139,45
161,50,135,50
162,1,128,1
162,5,137,5
162,10,133,10
162,15,126,15
162,20,122,20
162,25,117,25
162,30,129,30
162,35,131,35
162,40,128,40
162,45,125,45
162,50,121,50
163,1,124,1
163,5,123,5
163,10,119,10
163,15,125,15
163,20,122,20
163,25,131,25
163,30,114,30
163,35,138,35
163,40,134,40
163,45,137,45
163,50,131,50
164,1,118,1
164,5,133,5
164,10,116,10
164,15,133,15
164,20,114,20
164,25,137,25
164,30,126,30
164,35,131,35
164,40,125,40
164,45,130,45
164,50,123,50
165,1,139,1
165,5,130,5
165,10,122,10
165,15,129,15
165,20,141,20
165,25,135,25
165,30,135,30
165,35,140,35
165,40,130,40
165,45,126,45
165,50,121,50
166,1,133,1
166,5,130,5
166,10,129,10
166,15,132,15
166,20,141,20
166,25,120,25
166,30,116,30
166,35,115,35
166,40,121,40
166,45,121,45
166,50,127,50
167,1,127,1
167,5,130,5
167,10,137,10
167,15,125,15
167,20,120,20
167,25,117,25
167,30,126,30
167,35,130,35
167,40,125,40
167,45,128,45
167,50,131,50
168,1,125,1
168,5,142,5
168,10,126,10
168,15,123,15
168,20,124,20
168,25,134,25
168,30,134,30
168,35,123,35
168,40,135,40
168,45,127,45
168,50,139,50
169,1,110,1
169,5,141,5
169,10,128,10
169,15,140,15
169,20,117,20
169,25,115,25
169,30,126,30
169,35,108,35
169,40,124,40
169,45,134,45
169,50,127,50
170,1,129,1
170,5,125,5
170,10,125,10
170,15,133,15
170,20,122,20
170,25,121,25
170,30,124,30
170,35,126,35
170,40,131,40
170,45,126,45
170,50,134,50
171,1,139,1
171,5,121,5
171,10,131,10
171,15,134,15
171,20,141,20
171,25,136,25
171,30,137,30
171,35,121,35
171,40,132,40
171,45,142,45
171,50,141,50
172,1,128,1
172,5,120,5
172,10,141,10
172,15,131,15
172,20,124,20
172,25,119,25
172,30,125,30
172,35,127,35
172,40,135,40
172,45,133,45
172,50,119,50
173,1,120,1
173,5,118,5
173,10,128,10
173,15,144,15
173,20,123,20
173,25,133,25
173,30,126,30
173,35,140,35
173,40,122,40
173,45,127,45
173,50,129,50
174,1,118,1
174,5,135,5
174,10,128,10
174,15,131,15
174,20,122,20
174,25,128,25
174,30,131,30
174,35,119,35
174,40,132,40
174,45,129,45
174,50,131,50
175,1,130,1
175,5,115,5
175,10,130,10
175,15,132,15
175,20,139,20
175,25,118,25
175,30,119,30
175,35,127,35
175,40,139,40
175,45,127,45
175,50,125,50
176,1,117,1
176,5,131,5
176,10,138,10
176,15,135,15
176,20,135,20
176,25,122,25
176,30,132,30
176,35,151,35
176,40,127,40
176,45,122,45
176,50,138,50
177,1,128,1
177,5,122,5
177,10,141,10
177,15,136,15
177,20,140,20
177,25,122,25
177,30,134,30
177,35,137,35
177,40,126,40
177,45,124,45
177,50,132,50
178,1,119,1
178,5,127,5
178,10,118,10
178,15,122,15
178,20,131,20
178,25,123,25
178,30,145,30
178,35,141,35
178,40,130,40
178,45,118,45
178,50,129,50
179,1,139,1
179,5,128,5
179,10,128,10
179,15,122,15
179,20,122,20
179,25,141,25
179,30,138,30
179,35,130,35
179,40,122,40
179,45,127,45
179,50,140,50
180,1,129,1
180,5,128,5
180,10,129,10
180,15,140,15
180,20,128,20
180,25,124,25
180,30,138,30
180,35,124,35
180,40,125,40
180,45,118,45
180,50,117,50
181,1,130,1
181,5,137,5
181,10,136,10
181,15,124,15
181,20,129,20
181,25,131,25
181,30,112,30
181,35,114,35
181,40,124,40
181,45,137,45
181,50,141,50
182,1,136,1
182,5,135,5
182,10,138,10
182,15,115,15
182,20,133,20
182,25,127,25
182,30,115,30
182,35,121,35
182,40,128,40
182,45,129,45
182,50,126,50
183,1,130,1
183,5,134,5
183,10,136,10
183,15,117,15
183,20,130,20
183,25,128,25
183,30,129,30
183,35,122,35
183,40,137,40
183,45,123,45
183,50,124,50
184,1,131,1
184,5,133,5
184,10,111,10
184,15,138,15
184,20,123,20
184,25,118,25
184,30,123,30
184,35,117,35
184,40,135,40
184,45,121,45
184,50,132,50
185,1,137,1
185,5,129,5
185,10,130,10
185,15,129,15
185,20,129,20
185,25,124,25
185,30,132,30
185,35,119,35
185,40,128,40
185,45,120,45
185,50,137,50
186,1,128,1
186,5,142,5
186,10,119,10
186,15,127,15
186,20,143,20
186,25,125,25
186,30,127,30
186,35,119,35
186,40,126,40
186,45,126,45
186,50,125,50
187,1,135,1
187,5,129,5
187,10,128,10
187,15,115,15
187,20,112,20
187,25,131,25
187,30,119,30
187,35,117,35
187,40,130,40
187,45,133,45
187,50,140,50
188,1,138,1
188,5,127,5
188,10,124,10
188,15,127,15
188,20,116,20
188,25,134,25
188,30,130,30
188,35,134,35
188,40,130,40
188,45,133,45
188,50,121,50
189,1,127,1
189,5,124,5
189,10,137,10
189,15,119,15
189,20,116,20
189,25,137,25
189,30,133,30
189,35,127,35
189,40,126,40
189,45,131,45
189,50,133,50
190,1,115,1
190,5,149,5
190,10,114,10
190,15,147,15
190,20,124,20
190,25,119,25
190,30,133,30
190,35,106,35
190,40,137,40
190,45,123,45
190,50,137,50
191,1,116,1
191,5,121,5
191,10,133,10
191,15,148,15
191,20,130,20
191,25,138,25
191,30,123,30
191,35,131,35
191,40,134,40
191,45,127,45
191,50,123,50
192,1,138,1
192,5,131,5
192,10,135,10
192,15,125,15
192,20,124,20
192,25,133,25
192,30,127,30
192,35,135,35
192,40,135,40
192,45,121,45
192,50,113,50
193,1,130,1
193,5,129,5
193,10,126,10
193,15,133,15
193,20,145,20
193,25,115,25
193,30,136,30
193,35,148,35
193,40,121,40
193,45,136,45
193,50,117,50
194,1,123,1
194,5,132,5
194,10,123,10
194,15,135,15
194,20,129,20
194,25,131,25
194,30,132,30
194,35,127,35
194,40,135,40
194,45,147,45
194,50,132,50
195,1,128,1
195,5,133,5
195,10,140,10
195,15,118,15
195,20,129,20
195,25,119,25
195,30,140,30
195,35,135,35
195,40,128,40
195,45,134,45
195,50,129,50
196,1,128,1
196,5,132,5
196,10,126,10
196,15,134,15
196,20,122,20
196,25,122,25
196,30,112,30
196,35,128,35
196,40,125,40
196,45,136,45
196,50,127,50
197,1,137,1
197,5,133,5
197,10,127,10
197,15,131,15
197,20,143,20
197,25,136,25
197,30,126,30
197,35,128,35
197,40,125,40
197,45,134,45
197,50,128,50
198,1,116,1
198,5,124,5
198,10,134,10
198,15,130,15
198,20,128,20
198,25,120,25
198,30,138,30
198,35,122,35
198,40,125,40
198,45,123,45
198,50,137,50
199,1,108,1
199,5,122,5
199,10,130,10
199,15,113,15
199,20,130,20
199,25,120,25
199,30,128,30
199,35,133,35
199,40,133,40
199,45,120,45
199,50,129,50
200,1,140,1
200,5,124,5
200,10,133,10
200,15,119,15
200,20,109,20
200,25,132,25
200,30,118,30
200,35,134,35
200,40,115,40
200,45,136,45
200,50,134,50
